symbol,success_gain,success_structural,failure,gain,duration_min
4USDT,0,0,1,-0.7344300822561698,26.608596583333334
AIAUSDT,1,0,1,1.284246575342467,43.30738566666666
ASTERUSDT,0,0,1,0.05989219405070213,26.841456416666666
ATUSDT,0,0,1,-2.3987206823027596,15.0410772
BANANAS31USDT,0,0,1,-2.8947368421052593,1.7084164833333333
BEATUSDT,0,0,2,0.08504520573708299,16.620258649999997
CAKEUSDT,0,0,1,0.3728362183754977,27.121905066666667
DASHUSDT,0,1,0,,
FARTCOINUSDT,0,1,0,,
FFUSDT,0,0,1,0.27995520716684835,27.2336935
GIGGLEUSDT,0,1,1,0.7890222984562623,50.03545546666667
ICPUSDT,0,0,1,-1.508916323731143,25.439536649999997
PARTIUSDT,1,0,1,3.18663169144079,59.56133081666667
PIPPINUSDT,0,1,1,0.14783526927137483,20.26960665
PUMPUSDT,0,0,1,0.07415647015201453,26.875032683333334
RIVERUSDT,0,0,2,-1.3327305180092126,29.779763666666668
SQDUSDT,0,0,1,0.2517532817838541,20.6110066
SUIUSDT,0,1,0,,
TAOUSDT,0,1,0,,
USELESSUSDT,0,0,1,-0.7968127490039931,26.58919045
WIFUSDT,0,1,0,,
